Number,Region,VPC ID, LOG GROUP NAME
1,af-south-1,vpc-076b35870e0614752,vpc/flow-logs/vpc-076b35870e0614752
2,ap-south-1,vpc-09b89f3a449d6aafa,vpc/flow-logs/vpc-09b89f3a449d6aafa
3,ap-south-1,vpc-887695e1,vpc/flow-logs/vpc-887695e1
4,eu-west-2,vpc-0c72d1cb2e9dbc661,vpc/flow-logs/vpc-0c72d1cb2e9dbc661
5,eu-west-1,vpc-02c73d4d58f8c894f,vpc/flow-logs/vpc-02c73d4d58f8c894f
6,eu-west-1,vpc-f77f6d95,vpc/flow-logs/vpc-f77f6d95
7,ap-northeast-1,vpc-09b85d58fd4ed895d,vpc/flow-logs/vpc-09b85d58fd4ed895d
8,me-central-1,vpc-0be6a6840fddfc740,vpc/flow-logs/vpc-0be6a6840fddfc740
9,me-central-1,vpc-02e474b33f6369f23,vpc/flow-logs/vpc-02e474b33f6369f23
10,ca-central-1,vpc-07c07b024954f2e28,vpc/flow-logs/vpc-07c07b024954f2e28
11,ca-central-1,vpc-0d8f25bb71906c6e3,vpc/flow-logs/vpc-0d8f25bb71906c6e3
12,ca-central-1,vpc-0b4b1befe47c00816,vpc/flow-logs/vpc-0b4b1befe47c00816
13,ca-central-1,vpc-15d9377c,vpc/flow-logs/vpc-15d9377c
14,ap-southeast-1,vpc-12081870,vpc/flow-logs/vpc-12081870
15,ap-southeast-2,vpc-0abcac1360ec83780,vpc/flow-logs/vpc-0abcac1360ec83780
16,ap-southeast-2,vpc-0713df5333d7bf9c9,vpc/flow-logs/vpc-0713df5333d7bf9c9
17,ap-southeast-2,vpc-0080e1a29d8df365c,vpc/flow-logs/vpc-0080e1a29d8df365c
18,eu-central-1,vpc-0dec4f1b9a5c8922a,vpc/flow-logs/vpc-0dec4f1b9a5c8922a
19,eu-central-1,vpc-05a19636f65a6a433,vpc/flow-logs/vpc-05a19636f65a6a433
20,eu-central-1,vpc-7c8fde17,vpc/flow-logs/vpc-7c8fde17
21,eu-central-1,vpc-2bd43342,vpc/flow-logs/vpc-2bd43342
22,eu-central-1,vpc-01da105cff0e963b7,vpc/flow-logs/vpc-01da105cff0e963b7
23,us-east-1,vpc-0c1bc64fcd4ed4a0b,vpc/flow-logs/vpc-0c1bc64fcd4ed4a0b
24,us-east-1,vpc-0f4cdd079f73d01d1,vpc/flow-logs/vpc-0f4cdd079f73d01d1
25,us-east-1,vpc-858f69e0,vpc/flow-logs/vpc-858f69e0
26,us-east-2,vpc-00b05fc2f491e24e4,vpc/flow-logs/vpc-00b05fc2f491e24e4
27,us-east-2,vpc-5706f33e,vpc/flow-logs/vpc-5706f33e
28,us-west-1,vpc-092297a72cfecfd6b,vpc/flow-logs/vpc-092297a72cfecfd6b
29,us-west-1,vpc-4c65732e,vpc/flow-logs/vpc-4c65732e
30,us-west-2,vpc-07ef8ee1b698c3d0f,vpc/flow-logs/vpc-07ef8ee1b698c3d0f
31,us-west-2,vpc-05e9d7c65c2c9de72,vpc/flow-logs/vpc-05e9d7c65c2c9de72
32,us-west-2,vpc-0106592df58ce9705,vpc/flow-logs/vpc-0106592df58ce9705
33,us-west-2,vpc-0b9d3aff4026209ef,vpc/flow-logs/vpc-0b9d3aff4026209ef
34,us-west-2,vpc-0832d325f8b5f5ea6,vpc/flow-logs/vpc-0832d325f8b5f5ea6
35,us-west-2,vpc-067e6c150510b7729,vpc/flow-logs/vpc-067e6c150510b7729
36,us-west-2,vpc-41794926,vpc/flow-logs/vpc-41794926
37,us-west-2,vpc-55d50333,vpc/flow-logs/vpc-55d50333
38,us-west-2,vpc-0d3cf6df8c42e89ca,vpc/flow-logs/vpc-0d3cf6df8c42e89ca
39,us-west-2,vpc-0d23124c57b60a810,vpc/flow-logs/vpc-0d23124c57b60a810
40,us-west-2,vpc-9da58bf9,vpc/flow-logs/vpc-9da58bf9
41,us-west-2,vpc-0d7cb8f22a269ef9e,vpc/flow-logs/vpc-0d7cb8f22a269ef9e
