Region,Instance ID,Instance Name,Instance Type,State,Public IP,Private IP,Launch Time
ap-south-1,i-0bbe9f78279ae8a81,Test-EC2,t2.medium,running,43.205.194.106,172.31.37.45,2024-09-30 06:36:23+00:00
ca-central-1,i-03a5929177d5d26bf,ARM-SIT-CA,m5.2xlarge,running,15.156.148.250,10.0.1.202,2024-04-26 05:49:43+00:00
ca-central-1,i-037fea3fee9d7adaf,Test-quickscan-env,t3.micro,running,35.182.183.62,10.0.1.220,2024-07-29 01:47:10+00:00
ca-central-1,i-08df8fef0670b57ed,ARM-SPIN,m5.2xlarge,stopped,N/A,10.0.100.184,2024-11-02 08:40:02+00:00
ca-central-1,i-00d53d6b98c39698e,ARM-SPIN-AGENT,m5.2xlarge,stopped,N/A,10.0.100.109,2024-11-04 11:33:40+00:00
eu-central-1,i-0c9625570fa141725,codescan-amazon,c5.xlarge,running,N/A,10.0.102.144,2024-08-30 07:39:58+00:00
eu-central-1,i-03062ba4e0cb4b63f,elasticsearch-amazon,t3.medium,running,N/A,10.0.102.225,2024-09-02 06:36:19+00:00
eu-central-1,i-0a84b471eeb375141,elasticsearch-amazon,t3.medium,running,N/A,10.0.101.151,2024-09-02 06:36:19+00:00
eu-central-1,i-0724f37ab0fd4b910,elasticsearch-amazon,t3.medium,running,N/A,10.0.103.149,2024-09-02 06:36:19+00:00
us-east-1,i-0d12d26c082516927,arm-qan-agent.autorabit.com,m5.xlarge,stopped,54.225.216.15,10.0.7.11,2024-11-11 03:30:45+00:00
us-east-1,i-03621f34632a1311e,squidproxy.autorabit.com,t2.large,running,44.210.118.208,10.0.1.138,2024-07-18 07:54:37+00:00
us-east-1,i-0ad2cde44ace5a38f,arm-qan5.autorabit.com,m5.2xlarge,running,52.206.178.137,10.0.6.129,2024-05-10 07:14:17+00:00
us-east-1,i-04c2dd71c8d963214,external-agent.autorabit.com,m5.large,stopped,N/A,10.0.0.78,2024-11-11 03:30:45+00:00
us-east-1,i-0781c64a4a9aff104,arm-qan.autorabit.com,m5.2xlarge,running,54.156.6.87,10.0.2.99,2024-09-12 16:58:55+00:00
us-east-1,i-0c6590b32e4b504ac,ncinouat-internal.autorabit.com,m5.xlarge,running,52.55.212.221,10.0.11.78,2024-09-10 03:54:40+00:00
us-east-1,i-0a90c4bdd4f1a86ca,supportserver.autorabit.com,m5.2xlarge,running,44.214.131.103,10.0.10.13,2023-10-18 07:09:39+00:00
us-east-1,i-0dad36b154a032dbb,supportserver-agent.autorabit.com,m5.large,running,52.73.45.192,10.0.5.145,2023-10-18 08:03:38+00:00
us-east-1,i-0a093f61ea57dce0b,pentest-vault.autorabit.com,m5.xlarge,stopped,34.239.68.94,172.31.7.236,2024-11-11 03:30:45+00:00
us-east-1,i-05b1a0f60cbdaf6b1,pentest-arm.autorabit.com,r5.large,running,34.195.108.200,10.0.13.59,2024-10-20 06:30:04+00:00
us-east-1,i-05e2a4ec017232c93,newperf.autorabit.com,m5.2xlarge,running,34.206.231.162,10.0.4.215,2024-09-16 05:20:20+00:00
us-east-1,i-0ae9465950efce788,fc-arm.autorabit.com,m4.xlarge,running,3.225.46.119,15.0.1.111,2024-03-16 18:19:12+00:00
us-east-1,i-07ab805cd62eafd26,License4j_AutoRABIT_18.04,t2.large,running,35.174.104.20,10.0.5.248,2024-09-19 09:32:23+00:00
us-east-1,i-0f532d3f6761d9b9e,Vault-Dev-Mongo,m5.large,running,54.145.158.78,172.31.1.177,2024-08-20 16:58:07+00:00
us-east-1,i-06192f5072af14804,elasticsearch-test,t3.large,running,N/A,10.0.101.91,2023-11-27 11:22:31+00:00
us-east-1,i-0f8e3e885bc6e5873,datadog-agent-flowcenter-dev-rds-1,t2.micro,running,3.95.254.78,15.0.3.226,2023-09-11 04:22:46+00:00
us-east-1,i-09479518d2a1c4e96,scheduler-service-qa,t3.large,running,54.89.12.160,10.0.26.113,2023-07-14 12:15:20+00:00
us-east-1,i-0636faf7254fde75b,SonarQube-10,t2.large,running,107.21.117.118,10.0.15.20,2023-06-06 19:45:49+00:00
us-east-1,i-087f7e50a17c4f721,newperf-agent.autorabit.com,r5.large,running,52.202.66.67,10.0.3.122,2023-07-13 16:03:44+00:00
us-east-1,i-041e6f12cfef3789f,AutoRABIT_SVN_Server-Dont delete this instances,t2.large,stopped,54.88.35.111,10.0.5.192,2024-01-08 15:55:49+00:00
us-east-1,i-001a37359c29e93c7,fc-armpreview.autorabit.com,m4.xlarge,running,34.226.223.254,15.0.1.92,2024-03-16 19:32:58+00:00
us-east-1,i-0b185383923405479,arm-qan7.autorabit.com,m5.2xlarge,running,18.214.84.176,10.0.15.249,2024-06-27 16:32:55+00:00
us-east-1,i-000d27ed2711e0547,K8s-Launch-Version2,t2.small,running,44.193.82.118,172.31.6.218,2023-11-16 09:36:50+00:00
us-east-1,i-0a35d6bd37ec37b93,elk-log-forwarder,t2.medium,running,34.224.4.166,172.31.51.109,2023-09-03 11:59:37+00:00
us-east-1,i-02e07f98b3543b5e7,elasticsearch-test,t3.large,running,N/A,10.0.102.205,2023-11-27 11:22:30+00:00
us-east-1,i-0b76afd387ae58eeb,codescan-ncino,c5.2xlarge,running,N/A,10.0.102.160,2024-04-04 12:35:28+00:00
us-east-1,i-0d3d50e4da0f14b84,Vault-UAT-Mongo,m5.large,running,34.238.154.59,172.31.9.182,2024-01-09 04:52:00+00:00
us-east-1,i-02d2cb48f70aeb18c,New-arm-qan-External-Agent-23.1,t2.xlarge,running,54.166.194.13,10.0.7.233,2024-03-28 08:58:36+00:00
us-east-1,i-0242eb1121d5d681b,elasticsearch-ncino,t3.large,running,N/A,10.0.101.140,2024-04-04 12:35:27+00:00
us-east-1,i-0dc0af75b2d58fe79,codescan-performance,c5.4xlarge,running,N/A,10.0.101.120,2024-05-03 12:11:26+00:00
us-east-1,i-0c5cafdda797ef3d0,arm-qan8.autorabit.com,r5.xlarge,running,44.207.232.198,10.0.8.23,2024-09-09 10:43:24+00:00
us-east-1,i-0cb76f548647f11f0,elasticsearch-inst-test,t3.large,running,N/A,10.0.103.158,2024-05-14 09:37:44+00:00
us-east-1,i-0257fc6f768484e36,buildx-docker,t4g.micro,running,54.145.198.154,172.31.26.33,2023-11-16 05:19:45+00:00
us-east-1,i-0a3b9053991f49148,elasticsearch-ncino,t3.large,running,N/A,10.0.102.91,2024-04-04 12:35:28+00:00
us-east-1,i-04afe16b89de6a359,elasticsearch-preview,t3.large,running,N/A,10.2.102.235,2024-04-11 09:50:23+00:00
us-east-1,i-0e15dbc81c0b37bcc,codescan-staging,c5.2xlarge,running,N/A,10.1.102.168,2024-05-15 12:59:35+00:00
us-east-1,i-07ffa71219aad16de,graviton-vault.autorabit.com,r7g.large,running,3.212.24.209,172.31.1.254,2024-02-23 12:13:32+00:00
us-east-1,i-037f65cf8dbfadfb5,elasticsearch-staging,t3.large,stopped,N/A,10.1.101.176,2024-11-08 16:24:27+00:00
us-east-1,i-0046eb01c408a3c5a,codescan-preview,c5.2xlarge,running,N/A,10.2.101.172,2024-04-01 18:24:42+00:00
us-east-1,i-032f65702eb914869,elasticsearch-performance,t3.large,running,N/A,10.0.101.241,2024-05-03 19:11:09+00:00
us-east-1,i-0a8a5fe2ae85b0b7f,codescan-inst-test,r6gd.large,running,N/A,10.0.101.106,2024-05-14 09:37:45+00:00
us-east-1,i-010404b2816c23e01,ec2-db-dump,t3.small,running,N/A,10.2.101.159,2024-05-22 12:05:59+00:00
us-east-1,i-0db794393028468f6,arm-qan8-agent.autorabit.com,r5.large,running,52.201.7.143,10.0.2.84,2024-05-30 11:47:40+00:00
us-east-1,i-064aa07ae6ebadb53,arm-qan-ulp.autorabit.com,m5.2xlarge,running,54.158.72.150,10.0.14.197,2024-06-07 02:49:53+00:00
us-east-1,i-0a2f3bd3c167ac175,elasticsearch-staging,t3.large,stopped,N/A,10.1.103.158,2024-11-08 16:25:34+00:00
us-east-1,i-0e0ea4fea719a68ba,elasticsearch-preview,t3.large,running,N/A,10.2.103.230,2024-04-11 09:50:23+00:00
us-east-1,i-020fb19c558fa422c,codescan-test,c5.2xlarge,running,N/A,10.0.103.21,2024-04-16 09:33:39+00:00
us-east-1,i-0c2ed2cf2c8c2a6db,dbmigration-server,m5.2xlarge,running,54.226.230.55,10.0.32.110,2024-09-19 14:35:06+00:00
us-east-1,i-048965bb61e3e5f13,elasticsearch-performance,t3.large,running,N/A,10.0.102.80,2024-05-03 19:11:09+00:00
us-east-1,i-00690e37311566230,elasticsearch-inst-test,t3.large,running,N/A,10.0.102.136,2024-05-14 09:37:44+00:00
us-east-1,i-0be71375ec68b4f8e,vault-odata-dev-fleet1,t3.2xlarge,running,N/A,15.0.126.50,2024-08-08 12:34:27+00:00
us-east-1,i-0cbc3471f59b7ea6d,vault-pg-new_ubuntu22,m5.4xlarge,running,N/A,172.31.113.68,2024-10-16 09:59:59+00:00
us-east-1,i-0e96ebe764fba4f95,elasticsearch-va-dev,t3.large,running,N/A,10.4.102.70,2024-10-17 16:59:08+00:00
us-east-1,i-0d417256b4291a9c3,elasticsearch-staging-new,t3.large,running,N/A,10.1.102.158,2024-11-06 09:13:19+00:00
us-east-1,i-07cccc12e04a95d8c,elasticsearch-url-change,t3.large,running,N/A,10.10.102.170,2024-11-08 18:33:00+00:00
us-east-1,i-0ab5495c89abc309e,1P-Agent,t2.micro,running,54.204.166.173,172.31.46.184,2024-07-02 20:02:49+00:00
us-east-1,i-09755c97317ca395f,platform-dev-fleet1,t4g.large,running,N/A,192.11.15.194,2024-08-11 01:31:50+00:00
us-east-1,i-01a9d0bcc21218bd9,elasticsearch-url-change,t3.large,running,N/A,10.10.103.215,2024-11-08 18:33:00+00:00
us-east-1,i-00735f1707af19a9a,odata-uat-fleet2,t3.2xlarge,running,N/A,172.31.204.73,2024-08-11 01:30:21+00:00
us-east-1,i-068852894a4d5ff29,vault-odata-dev-fleet1,t3.2xlarge,running,N/A,15.0.125.154,2024-08-16 23:05:48+00:00
us-east-1,i-049e847d5b5043be5,vault-uat.autorabit.com-private,m5.2xlarge,stopped,N/A,172.31.70.24,2024-09-13 10:38:41+00:00
us-east-1,i-07d38951963500691,vault-qa.autorabit.com-private,r5.4xlarge,stopped,N/A,172.31.50.251,2024-11-05 00:17:37+00:00
us-east-1,i-0d37431faf6ebaaab,vault-hotfixes.autorabit.com-private,m5.2xlarge,running,N/A,172.31.180.147,2024-11-07 01:42:41+00:00
us-east-1,i-0ea378b6e1665acf4,vault-dev.autorabit.com_graviton,m6g.2xlarge,running,N/A,172.31.80.45,2024-10-01 15:22:13+00:00
us-east-1,i-05e9b31872ece549a,flowcenter-dev-fleet1,t4g.xlarge,running,N/A,15.0.14.134,2024-10-07 10:04:23+00:00
us-east-1,i-0af5593c79f15aa67,cis-hardening-VM,t2.small,running,54.172.109.237,172.31.81.113,2024-10-07 11:34:26+00:00
us-east-1,i-0425d804c5f361c9b,codescan-va-dev,c5.2xlarge,running,N/A,10.4.101.120,2024-10-18 14:42:16+00:00
