ResourceType,Region,Identifier,Status,Role,Engine,Size,MultiAZ
ap-south-1,iketest,Instance,Primary,available,postgres,db.m6g.large,True
ca-central-1,flowcenterdb-spin,Instance,Primary,available,postgres,db.t4g.large,False
eu-central-1,db-codescan-amazon,Instance,Primary,available,postgres,db.t3.medium,False
us-east-1,ar-flowcenter-devs-us-east-1-postgres-rds,Instance,Primary,available,postgres,db.t3.xlarge,False
us-east-1,codescan-test,Instance,Primary,available,postgres,db.m7g.xlarge,False
us-east-1,codescan-test-new-db,Instance,Primary,available,postgres,db.m7g.xlarge,True
us-east-1,codescan-url-test-db,Instance,Primary,available,postgres,db.m7g.large,False
us-east-1,db-codescan-inst-test,Instance,Primary,available,postgres,db.r6g.large,False
us-east-1,db-codescan-ncino,Instance,Primary,available,postgres,db.t3.medium,False
us-east-1,db-codescan-performance,Instance,Primary,available,postgres,db.r6g.large,False
us-east-1,db-codescan-preview,Instance,Primary,available,postgres,db.t3.medium,False
us-east-1,platform-dev-1,Instance,Primary,available,postgres,db.m5d.large,True
us-east-1,postgresdb,Instance,Primary,available,postgres,db.m5d.large,False
us-east-1,vadev-db-codescan,Instance,Primary,available,postgres,db.m5d.large,False
us-east-1,vault-dev,Instance,Primary,available,aurora-mysql,db.t4g.large,False
us-east-1,vault-hotfixes-latest,Instance,Primary,available,aurora-mysql,db.t4g.large,False
us-east-1,vault-pentest-instance-1,Instance,Primary,available,aurora-mysql,db.t3.medium,False
us-east-1,vault-perf,Instance,Primary,available,aurora-mysql,db.r6g.2xlarge,False
us-east-1,vault-pg-mysql8,Instance,Primary,available,aurora-mysql,db.r6g.xlarge,False
us-east-1,vault-qa,Instance,Primary,available,aurora-mysql,db.t4g.large,False
us-east-1,vault-uat,Instance,Primary,available,aurora-mysql,db.t4g.medium,False
us-east-1,vault-dev-cluster,Cluster,Primary,available,aurora-mysql,N/A,False
us-east-1,vault-hotfixes-latest-cluster,Cluster,Primary,available,aurora-mysql,N/A,False
us-east-1,vault-pentest,Cluster,Primary,available,aurora-mysql,N/A,False
us-east-1,vault-perf-cluster,Cluster,Primary,available,aurora-mysql,N/A,False
us-east-1,vault-pg-mysql8-cluster,Cluster,Primary,available,aurora-mysql,N/A,False
us-east-1,vault-qa-cluster,Cluster,Primary,available,aurora-mysql,N/A,False
us-east-1,vault-uat-cluster,Cluster,Primary,available,aurora-mysql,N/A,False
us-west-2,test-dependency-track,Instance,Primary,available,postgres,db.t3.medium,False
