ResourceType,Region,Identifier,Status,Role,Engine,Size,MultiAZ,CreationDate
Instance,ca-central-1,platform-postgres1,available,Primary,postgres,db.m5d.large,True,2023-10-06 08:27:01
Instance,ap-southeast-1,postgres-platform,available,Primary,postgres,db.m5d.large,True,2023-10-10 08:31:32
Instance,ap-southeast-2,db-ap-southeast-2-prod-snapshot,available,Primary,postgres,db.m6g.large,True,2023-03-27 07:01:51
Instance,ap-southeast-2,postgres-pltform,available,Primary,postgres,db.m5.xlarge,True,2023-10-31 14:40:03
Instance,eu-central-1,ar-rbm-starteu-eu-central-1-postgres-rds,available,Primary,postgres,db.m5d.large,False,2024-08-15 13:56:12
Instance,eu-central-1,platform-postgres-1,available,Primary,postgres,db.m6g.large,True,2023-11-29 07:59:32
Instance,eu-central-1,swift-vault-8,available,Primary,aurora-mysql,db.r6g.2xlarge,False,2024-09-27 05:53:25
Cluster,eu-central-1,swift-vault-8-cluster,available,Primary,aurora-mysql,N/A,False,2024-09-27 04:33:45
Instance,us-east-1,ar-flowcenter-rds,available,Primary,postgres,db.r6g.large,False,2024-02-13 10:43:14
Instance,us-east-1,db-codescan-bylinebank-prd,available,Primary,postgres,db.t3.medium,False,2024-03-13 12:02:35
Instance,us-east-1,db-codscan-penfed-prod,available,Primary,postgres,db.t3.medium,False,2023-09-15 10:16:52
Instance,us-east-1,penfed-scheduler-postgres,available,Primary,postgres,db.m5.xlarge,True,2023-11-03 14:03:26
Instance,us-east-2,platform-postgres,available,Primary,postgres,db.m5.xlarge,True,2023-10-31 13:15:17
Instance,us-west-2,ar-platform-prd-tmp-us-west-2-postgres-rds,available,Primary,postgres,db.t3.xlarge,False,2023-09-22 09:23:28
Instance,us-west-2,flowcenterdb-cvshealth,available,Primary,postgres,db.t4g.large,False,2024-09-13 09:20:56
